latitude,longitude,altitude,deviceTime,fixTime,attributes.distance,attributes.totalDistance,attributes.batteryLevel,speed,date,time,datetime,partday
-0.185547,-78.491646,2821.947547912598,2020-05-20T03:55:51.000+0000,2020-05-20T03:55:51.000+0000,7.38,47041.09,20.0,0.0,2020-05-20,03:55:51,2020-05-20 03:55:51+00:00,3
-0.185561,-78.491706,2831.136024475098,2020-05-20T04:00:52.000+0000,2020-05-20T04:00:52.000+0000,6.86,47047.95,19.0,0.0,2020-05-20,04:00:52,2020-05-20 04:00:52+00:00,3
-0.185619,-78.491799,2823.231971740723,2020-05-20T04:05:52.000+0000,2020-05-20T04:05:52.000+0000,12.2,47060.15,18.0,0.0,2020-05-20,04:05:52,2020-05-20 04:05:52+00:00,3
-0.185584,-78.491795,2819.989784240723,2020-05-20T04:10:53.000+0000,2020-05-20T04:10:53.000+0000,3.92,47064.07,17.0,0.0,2020-05-20,04:10:53,2020-05-20 04:10:53+00:00,3
-0.185561,-78.491788,2822.028846740723,2020-05-20T04:15:53.000+0000,2020-05-20T04:15:53.000+0000,2.68,47066.75,16.0,0.0,2020-05-20,04:15:53,2020-05-20 04:15:53+00:00,3
-0.185294,-78.491747,2817.656532287598,2020-05-20T04:20:53.000+0000,2020-05-20T04:20:53.000+0000,30.07,47096.82,15.00000095367432,0.0,2020-05-20,04:20:53,2020-05-20 04:20:53+00:00,3
-0.185544,-78.491776,2814.840614318848,2020-05-20T04:25:54.000+0000,2020-05-20T04:25:54.000+0000,28.02,47124.84,14.0,1.30237283244133,2020-05-20,04:25:54,2020-05-20 04:25:54+00:00,3
-0.185489,-78.491744,2811.523231506348,2020-05-20T04:30:54.000+0000,2020-05-20T04:30:54.000+0000,7.08,47131.92,13.0,0.0,2020-05-20,04:30:54,2020-05-20 04:30:54+00:00,3
-0.185465,-78.491768,2816.088661193848,2020-05-20T04:35:55.000+0000,2020-05-20T04:35:55.000+0000,3.78,47135.7,13.0,0.0,2020-05-20,04:35:55,2020-05-20 04:35:55+00:00,3
-0.185472,-78.491827,2815.022254943848,2020-05-20T04:40:56.000+0000,2020-05-20T04:40:56.000+0000,6.61,47142.31,12.0,0.0,2020-05-20,04:40:56,2020-05-20 04:40:56+00:00,3
-0.185477,-78.491842,2813.108680725098,2020-05-20T04:45:56.000+0000,2020-05-20T04:45:56.000+0000,1.76,47144.07,12.0,0.0,2020-05-20,04:45:56,2020-05-20 04:45:56+00:00,3
-0.185517,-78.491852,2810.058143615723,2020-05-20T04:50:56.000+0000,2020-05-20T04:50:56.000+0000,4.59,47148.66,13.0,0.0,2020-05-20,04:50:56,2020-05-20 04:50:56+00:00,3
-0.185517,-78.491852,2810.882606506348,2020-05-20T04:55:57.000+0000,2020-05-20T04:55:57.000+0000,0.0,47148.66,16.0,0.0,2020-05-20,04:55:57,2020-05-20 04:55:57+00:00,3
-0.185604,-78.491826,2809.346961975098,2020-05-20T05:00:58.000+0000,2020-05-20T05:00:58.000+0000,10.11,47158.77,20.0,0.0,2020-05-20,05:00:58,2020-05-20 05:00:58+00:00,0
-0.185693,-78.491813,2815.286170959473,2020-05-20T05:05:58.000+0000,2020-05-20T05:05:58.000+0000,10.01,47168.78,24.0,0.0,2020-05-20,05:05:58,2020-05-20 05:05:58+00:00,0
-0.185693,-78.491813,2816.475379943848,2020-05-20T05:10:58.000+0000,2020-05-20T05:10:58.000+0000,0.0,47168.78,27.00000190734863,0.0,2020-05-20,05:10:58,2020-05-20 05:10:58+00:00,0
